timestamp,id,text,favorite_count,retweet_count,hashtags
Tue Mar 02 23:49:16 +0000 2021,1366898429981458432,just a heads up. i will be running around the house. as fast as possible. for the next 15 seconds. i will have no regard for furniture. or any individuals in my way. when i am done. do not ask me why i have done this. because i do not know,50469,4591,
Fri Feb 26 19:08:45 +0000 2021,1365378284754640898,i am just going to be honest. i deserve 1 million kisses. every day,139000,13099,
Thu Feb 25 17:01:16 +0000 2021,1364983815190417414,"here is what. i plan to accomplish today:

2. bark loudly. but at nothing
7. lose my ball under the couch
7b. politely ask the human. to get my ball
3. immediately lose it again. under the same couch
4. big nap. you have worked hard
2. repeat",108490,9757,
Fri Feb 19 20:02:55 +0000 2021,1362855201997168640,@NASAPersevere you are doing a good job up there. thank you,11406,464,
Sun Feb 14 17:32:39 +0000 2021,1361005447445053445,the human waited until TODAY. to ask me to be their valentine. it is a little insulting. they assumed i would not have plans already. i don’t. but still,146049,9890,
Sun Feb 07 18:04:20 +0000 2021,1358476705258737665,once again. i have gone undrafted in the puppy bowl. i feel as though both teams. have missed an opportunity in me. but i still wish them the best. in their game today. i will be watching from the couch,93778,5469,
Thu Jan 28 17:43:49 +0000 2021,1354847663942864899,you are tough. you are scary. you are a good boy. but also a scary one. if the situation calls for it https://t.co/KWXCX5uEbn,308993,53227,
Tue Jan 26 02:09:55 +0000 2021,1353887862580645888,sometimes. when i am bored. i will stare at nothing. and try to convince the human. that there is a ghost,117740,9705,
Wed Jan 13 02:05:14 +0000 2021,1349175642751787009,it appears you have loaded the dishwasher without me. do you not need my services anymore. did you lick the plates yourself. this is a disaster,137903,10121,
Mon Jan 11 15:14:16 +0000 2021,1348649434662330369,i can tell. when the human’s heart rate goes up. it really stresses me out. so if we could all try to have a nice. boring week. that would be best. for both of us,119739,10753,
Wed Jan 06 00:30:14 +0000 2021,1346615021799763968,@Skittles why. must you haunt me,4530,64,
Tue Jan 05 18:23:25 +0000 2021,1346522708276772864,the human has to work again this week. but that’s okay. i can keep myself busy. there is a skittle under the fridge. that needs constant surveillance,105100,5938,
Fri Jan 01 01:37:02 +0000 2021,1344819890390138881,i heard there is a ball dropping later. does anybody have the details? i am interested in that,165719,11741,
Thu Dec 31 17:51:19 +0000 2020,1344702690148798464,according to my data. cuddles were up by 147% this year. hugs up 93%. and long hugs up by nearly 700%. while these stats with the human. may be hard to maintain. i think we should try,112824,10027,
Wed Dec 30 18:00:46 +0000 2020,1344342682097876995,RT @dog_rates: The Dogs of 2020 https://t.co/xVQdlkgW1T,0,80795,
Thu Dec 24 17:41:29 +0000 2020,1342163501318434816,this year. i got to pick the accessories for our house tree. and i think. i did a wonderful job https://t.co/9HpQTrHIXI,69225,6165,
Tue Dec 22 17:00:37 +0000 2020,1341428439262236672,it feels pointless. to bring it up again. but if i am not allowed to bring my sticks inside. why is the human allowed a whole tree. do they not understand. that is where my sticks come from,149317,14750,
Mon Dec 21 17:01:08 +0000 2020,1341066181424254977,@dog_rates @bestfriends @Trupanion here you go https://t.co/pJtfgR3N5a,10562,251,
Thu Dec 17 01:40:04 +0000 2020,1339384835953946624,we are approaching the time of year. when humans look back. and think about. what they could have done better. not me though. i was perfect,140610,10798,
Fri Dec 11 01:53:15 +0000 2020,1337213826786181122,if you don’t want me to fall asleep. during the movie. what are we so cozy for,108553,7711,
Mon Dec 07 21:12:24 +0000 2020,1336055987610943488,sometimes. my tongue pokes out when i sleep. i am aware of this. because the human takes a picture every time. and shows it to me. as soon as i wake up,109571,5636,
Tue Dec 01 02:23:01 +0000 2020,1333597439660486659,is now. an okay time. to tell you that i love you,111520,8305,
Mon Nov 30 19:36:05 +0000 2020,1333495032616161280,they are innocent https://t.co/ty6DtkD9Vv,58018,2716,
Fri Nov 27 18:30:02 +0000 2020,1332391245159645185,"i am so glad. you like my stuffed fren sebastian. he is still available. for anyone who needs him

https://t.co/6UEgyvAXWf https://t.co/LBhIb4W3l2",39894,1451,
Tue Nov 24 19:48:08 +0000 2020,1331323737514205184,the human just learned. they will be working from home. for the foreseeable future. this is simply a formality. i was never letting them go back anyway,127582,7824,
Thu Nov 19 16:06:00 +0000 2020,1329455896183918592,you cannot rush me. on my walks. if i don’t sniff enough things. i could fall behind. on the neighborhood dog leaderboard,147485,9822,
Wed Nov 18 19:05:04 +0000 2020,1329138571253489664,@staci1971 he is for. anybody who needs him,3088,13,
Wed Nov 18 19:02:24 +0000 2020,1329137902199005184,@2legit2dunk https://t.co/4lx6Z4wqAp,1963,12,
Wed Nov 18 19:00:40 +0000 2020,1329137465077055488,"i am sure. you all know my stuffed fren sebastian. well starting today. you and your pup can have him. he is here for anybody who needs him. and i hope you love him. as much as i do

https://t.co/6UEgyvAXWf https://t.co/MGjim29DLL",49424,2098,
Tue Nov 17 00:18:49 +0000 2020,1328492756319158272,i do not “shed.” i sprinkle my glitter,130929,9410,
Sat Nov 14 22:08:17 +0000 2020,1327735130035634176,i am sorry. for not having many thoughts lately. sometimes no thought. is a beautiful thing,126562,9477,
